S.No,Confederation,Stadium,City,HomeTeams,Capacity,Country,IOC,Capacity_Order
1745,CONCACAF,Michigan Stadium,Ann Arbor,Wolverines,107601,United States of America,USA,1
1687,CONCACAF,Beaver Stadium,University Park,Penn State,106572,United States of America,USA,2
1753,CONCACAF,Ohio Stadium,Columbus,Buckeyes,104944,United States of America,USA,3
1725,CONCACAF,Kyle Field,College Station,Aggies,102733,United States of America,USA,4
1746,CONCACAF,Neyland Stadium,Knoxville,Volunteers,102455,United States of America,USA,5
1782,CONCACAF,Tiger Stadium,Baton Rouge,Tigers,102321,United States of America,USA,6
1691,CONCACAF,Bryant-Denny Stadium,Tuscaloosa,Crimson Tide,101821,United States of America,USA,7
1770,CONCACAF,Royal Memorial Stadium,Austin,Longhorns,100119,United States of America,USA,8
1477,UEFA,Camp Nou,Barcelona,Barcelona,99354,Spain,ESP,9
1285,CAF,FNB Stadium,Johannesburg,Kaizer Chiefs,94736,Republic of South Africa,RSA,10
1726,CONCACAF,LA Memorial Coliseum,Los Angeles,"Rams, Trojans",93607,United States of America,USA,11
1772,CONCACAF,Sanford Stadium,Athens,Bulldogs,92746,United States of America,USA,12
1768,CONCACAF,Rose Bowl,Pasadena,Bruins,92542,United States of America,USA,13
451,UEFA,Wembley,London,Tottenham,90652,England,ENG,14
1688,CONCACAF,Ben Hill Griffin Stadium,Gainsville,Gators,88548,United States of America,USA,15
1720,CONCACAF,Jordan-Hare Stadium,Auburn,Tigers,87451,United States of America,USA,16
895,CONCACAF,Estadio Azteca,Mexico City,"América, Cruz Azul",87000,Mexico,MEX,17
1739,CONCACAF,Memorial Stadium,Lincoln,Cornhuskers,86047,United States of America,USA,18
1522,UEFA,Estadio Santiago Bernabéu,Madrid,Real Madrid,85454,Spain,ESP,19
1743,CONCACAF,MetLife Stadium,East Rutherford,"Jets, Giants",82566,United States of America,USA,20
1703,CONCACAF,Doak Campbell Stadium,Tallahassee,Seminoles,82300,United States of America,USA,21
1754,CONCACAF,Oklahoma Memorial Stadium,Norman,Sooners,82112,United States of America,USA,22
1708,CONCACAF,FedEx Field,Landover,Redskins,82000,United States of America,USA,23
1702,CONCACAF,Clemson Memorial Stadium,Clemson,Tigers,81500,United States of America,USA,24
596,UEFA,Signal Iduna Park,Dortmund,Borussia,81359,Germany,GER,25
781,UEFA,Stadio San Siro,Milan,"AC Milan, Inter FC",81277,Italy,ITA,26
1749,CONCACAF,Notre Dame Stadium,South Bend,Fighting Irish,80795,United States of America,USA,27
1727,CONCACAF,Lambeau Field,Green Bay,Packers,80750,United States of America,USA,28
1695,CONCACAF,Camp Randall Stadium,Madison,Badgers,80321,United States of America,USA,29
1793,CONCACAF,Williams-Brice Stadium,Columbia,Gamecocks,80250,United States of America,USA,30
1016,CONMEBOL,Estadio Teodoro Lolo Fernández,Ate,Universitario,80093,Peru,PER,31
1679,CONCACAF,AT&T Stadium,Arlington,Cowboys,80000,United States of America,USA,32
169,CONMEBOL,Maracanã,Rio de Janeiro,"Flamengo, Botafogo, Fluminense, Vasco",78838,Brazil,BRA,33
714,AFC,Azadi Stadium,Tehran,"Persepolis, Esteghlal",78116,Iran,IRN,34
1678,CONCACAF,Arrowhead Stadium,Kansas City,Chiefs,76416,United States of America,USA,35
701,AFC,Gelora Bung Karno,Jakarta,Persija Jakarta,76127,Indonesia,IDN,36
1775,CONCACAF,Sports Authority Field,Denver,Broncos,76125,United States of America,USA,37
1684,CONCACAF,Bank of America Stadium,Charlotte,Panthers,75412,United States of America,USA,38
1761,CONCACAF,Ralph Wilson Stadium,Buffalo,Buffalo Bills,75339,United States of America,USA,39
532,UEFA,Allianz Arena,Munich,Bayern,75024,Germany,GER,40
1774,CONCACAF,Spartan Stadium,East Lansing,Spartans,75005,United States of America,USA,41
1582,AFC,Aleppo International Stadium,Aleppo,Al-Ittihad,75000,Syria,SYR,42
407,UEFA,Old Trafford,Manchester,Manchester United,74994,England,ENG,43
580,UEFA,Olympiastadion,Berlin,Hertha,74475,Germany,GER,44
1712,CONCACAF,Georgia Dome,Atlanta,Falcons,74228,United States of America,USA,45
337,CAF,Cairo International Stadium,Cairo,"Zamalek, Al-Ahly",74100,Egypt,EGY,46
1777,CONCACAF,Sun Devil Stadium,Tempe,Sun Devils,73379,United States of America,USA,47
1742,CONCACAF,Mercedes-Benz Superdome,New Orleans,Saints,73208,United States of America,USA,48
157,CONMEBOL,Estádio Nacional,Brasilia,Brasília FC,72888,Brazil,BRA,49
815,AFC,Nissan Stadium,Yokohama,Marinos,72327,Japan,JPN,50
